year,fgco2,scenario,source
2084,8.487625673944944,ssp245,GFDL-ESM4
2085,8.192390663517054,ssp245,GFDL-ESM4
2086,8.650237604328037,ssp245,GFDL-ESM4
2087,7.648275196061012,ssp245,GFDL-ESM4
2088,7.407611692395026,ssp245,GFDL-ESM4
2089,8.586084660844062,ssp245,GFDL-ESM4
2090,7.775447766769156,ssp245,GFDL-ESM4
2091,7.469317906640004,ssp245,GFDL-ESM4
2092,7.823449111743333,ssp245,GFDL-ESM4
2093,7.769471519844714,ssp245,GFDL-ESM4
2094,7.400674865198317,ssp245,GFDL-ESM4
2095,7.294674777168936,ssp245,GFDL-ESM4
2096,7.2169284894063574,ssp245,GFDL-ESM4
2097,7.329234840409335,ssp245,GFDL-ESM4
2098,7.51629392475854,ssp245,GFDL-ESM4
2099,6.385227870469043,ssp245,GFDL-ESM4
2100,7.072653784374027,ssp245,GFDL-ESM4
2015,6.811069242143452,ssp585,GFDL-ESM4
2016,7.024696723617156,ssp585,GFDL-ESM4
2017,8.141129773127949,ssp585,GFDL-ESM4
2018,8.41972769889725,ssp585,GFDL-ESM4
2019,8.427687959280554,ssp585,GFDL-ESM4
2020,8.062371338655701,ssp585,GFDL-ESM4
2021,8.691133022713094,ssp585,GFDL-ESM4
2022,8.594837730741279,ssp585,GFDL-ESM4
2023,8.500537236364913,ssp585,GFDL-ESM4
2024,8.775496538901868,ssp585,GFDL-ESM4
2025,9.32445305281665,ssp585,GFDL-ESM4
2026,9.533191033517461,ssp585,GFDL-ESM4
2027,9.441921842238468,ssp585,GFDL-ESM4
2028,10.149817118394102,ssp585,GFDL-ESM4
2029,10.500584376278393,ssp585,GFDL-ESM4
2030,9.914797698333983,ssp585,GFDL-ESM4
2031,10.093883447402998,ssp585,GFDL-ESM4
2032,10.586370404109031,ssp585,GFDL-ESM4
2033,10.725592558683385,ssp585,GFDL-ESM4
2034,10.762602868903222,ssp585,GFDL-ESM4
2035,10.797706447545327,ssp585,GFDL-ESM4
2036,11.400006132465274,ssp585,GFDL-ESM4
2037,12.077848952035364,ssp585,GFDL-ESM4
2038,11.858906921870469,ssp585,GFDL-ESM4
2039,12.04802741919042,ssp585,GFDL-ESM4
2040,12.337977275473001,ssp585,GFDL-ESM4
2041,12.382645122637816,ssp585,GFDL-ESM4
2042,12.575321708673169,ssp585,GFDL-ESM4
2043,12.98652043301673,ssp585,GFDL-ESM4
2044,13.02100251592676,ssp585,GFDL-ESM4
2045,13.279526536006774,ssp585,GFDL-ESM4
2046,12.918839676229474,ssp585,GFDL-ESM4
2047,13.29114127380548,ssp585,GFDL-ESM4
2048,13.610946861345111,ssp585,GFDL-ESM4
2049,14.053612916487335,ssp585,GFDL-ESM4
2050,13.426423601178255,ssp585,GFDL-ESM4
